obs,total_shares,share_std,share_mean,num_participants,total_percent,percent_std,percent_mean,total_share_change,num_significant_changes,top_participant_shares,top_participant_percent,top3_percent
471,3388342396,73819451.43407486,8665837.329923274,391,31.28,0.6975863148504752,0.08,-167500.0,7,2423189356,22.88,19.21
472,3388297396,73783683.10381365,8665722.240409207,391,31.3,0.6977094373127962,0.08005115089514067,-45000.0,5,2421639610,22.89,19.21
473,3388917896,73846867.57878199,8645198.714285715,392,31.31,0.6982911066472436,0.07987244897959184,608500.0,4,2422479129,22.89,19.22
474,3388809896,74207556.28374276,8711593.562982006,389,31.32,0.7014030437810718,0.08051413881748072,148000.0,4,2424241561,22.900000000000002,19.23
475,3388810896,74046700.10744818,8667035.539641943,391,31.28,0.6998648221126484,0.08,-30000.0,5,2423957289,22.89,19.23
476,3388915896,74098718.623517,8689527.938461538,390,31.290000000000003,0.7004755623479721,0.08023076923076924,105500.0,6,2423813935,22.900000000000002,19.220000000000002
477,3388945896,73869556.17042789,8667380.808184143,391,31.28,0.6981506706824525,0.08,-179000.0,8,2424798932,22.9,19.21
478,3388851396,73940022.15571117,8689362.553846154,390,31.28,0.6990603013030794,0.0802051282051282,-11000.0,13,2423871825,22.9,19.22
479,3388924896,74033528.79422449,8734342.515463918,388,31.3,0.7000373297045196,0.08067010309278351,208000.0,4,2422624874,22.89,19.21
480,3388942396,74071536.873016,8756957.095607236,387,31.29,0.7001262258595959,0.08085271317829457,-109500.0,3,2422314428,22.880000000000003,19.2
481,3389154896,74218300.19834025,8780194.031088082,386,31.310000000000002,0.7014527059331407,0.0811139896373057,213000.0,7,2421539231,22.880000000000003,19.22
482,3389276896,74175805.37924924,8780510.093264248,386,31.290000000000003,0.7009890313679018,0.08106217616580312,122000.0,3,2421316074,22.87,19.21
483,3389252396,74147880.56572153,8780446.621761657,386,31.29,0.7011072217455926,0.08106217616580311,-24500.0,4,2421161369,22.880000000000003,19.22
484,3389401396,74147688.36013359,8780832.632124353,386,31.3,0.7010391970907289,0.0810880829015544,149000.0,9,2420105288,22.87,19.22
485,3389465179,74140792.50836334,8780997.873056995,386,31.29,0.7008167118844633,0.08106217616580311,63783.0,5,2421883161,22.88,19.23
486,3389423679,74149373.72204094,8780890.360103628,386,31.29,0.700884162405669,0.08106217616580311,-41500.0,6,2423255055,22.89,19.22
487,3391933679,74274460.9295402,8810217.348051948,385,31.3,0.7019365894789577,0.0812987012987013,2511000.0,8,2424925386,22.9,19.24
488,3391911679,74257154.65600386,8787335.955958549,386,31.310000000000002,0.7017918087415734,0.0811139896373057,-105500.0,3,2425409679,22.91,19.26
489,3391991179,74396116.18935055,8810366.698701298,385,31.31,0.703291414409597,0.08132467532467533,141000.0,2,2424198501,22.9,19.25
490,3391897679,74384221.28500415,8810123.841558442,385,31.31,0.7033114093929171,0.08132467532467533,-93500.0,3,2423449994,22.9,19.25
491,3391895679,74498459.7645174,8810118.646753246,385,31.3,0.704079908331446,0.0812987012987013,-2000.0,2,2424458200,22.9,19.27
492,3391838679,74447375.9056987,8809970.594805194,385,31.32,0.7037120654043607,0.08135064935064935,-57000.0,4,2422848180,22.89,19.259999999999998
493,3391719679,74348489.32834873,8786838.546632124,386,31.31,0.7028085050458776,0.08111398963730569,-123500.0,3,2422929866,22.89,19.259999999999998
494,3391432679,74423476.80430706,8808916.04935065,385,31.32,0.7035795709529503,0.08135064935064935,-286947.0,5,2424838291,22.91,19.27
495,3391363679,74481175.46571091,8808736.82857143,385,31.31,0.7041673281843255,0.08132467532467533,-69000.0,4,2423918333,22.9,19.27
496,3391378179,74508680.38463631,8808774.49090909,385,31.33,0.7043532242818779,0.08137662337662337,14500.0,5,2425908396,22.919999999999998,19.27
497,3391314679,74465833.96254025,8785789.323834198,386,31.29,0.7037374519797056,0.08106217616580311,-125000.0,2,2427246190,22.919999999999998,19.27
498,3391105679,74600014.35393576,8785247.873056995,386,31.31,0.7053767916095941,0.08111398963730569,-209000.0,6,2428514530,22.94,19.3
499,3391104377,74772092.08631027,8808063.316883117,385,31.330000000000002,0.7067928783523578,0.08137662337662338,-1252.0,3,2430605652,22.96,19.310000000000002
500,3391016877,74811257.56528237,8807836.044155844,385,31.32,0.7071345818364456,0.08135064935064935,-87500.0,2,2430813378,22.96,19.31
501,3390989877,74770446.48613566,8807765.914285714,385,31.3,0.7066701380295363,0.0812987012987013,-27000.0,7,2430178381,22.95,19.3
502,3390925377,74797425.10714684,8784780.769430052,386,31.31,0.7070373912933451,0.08111398963730569,-64550.0,3,2431540557,22.97,19.32
503,3390935877,74882123.04993023,8807625.654545454,385,31.32,0.7079424736485805,0.08135064935064935,21133.0,4,2430807089,22.97,19.32
504,3390881377,74794738.67424153,8784666.779792747,386,31.3,0.7069104960064657,0.0810880829015544,-65133.0,6,2430348517,22.95,19.32
505,3391024377,74779621.54079078,8785037.24611399,386,31.29,0.7067589543123644,0.08106217616580311,117000.0,4,2429408349,22.939999999999998,19.3
506,3391281377,74775171.47504404,8785703.049222797,386,31.3,0.7066477345839856,0.0810880829015544,266447.0,8,2428000478,22.93,19.29
507,3391387377,74655455.14247619,8763274.875968993,387,31.29,0.7055200900196795,0.08085271317829457,104000.0,3,2428484629,22.939999999999998,19.29
508,3391345389,74595825.3495856,8763166.379844962,387,31.3,0.7051349433414974,0.08087855297157623,-41988.0,3,2428638802,22.94,19.27
509,3391216889,74486497.97766171,8762834.338501291,387,31.32,0.7041098174406227,0.08093023255813954,-128500.0,2,2427440685,22.94,19.26
510,3391170389,74523995.79980013,8785415.515544042,386,31.32,0.7045464571256471,0.08113989637305699,53500.0,4,2426240017,22.93,19.25
511,3391222389,74502159.12553011,8785550.230569948,386,31.32,0.7043842266971412,0.08113989637305699,-29000.0,6,2427818948,22.95,19.25
512,3391234389,74715593.8685989,8831339.5546875,384,31.32,0.7063184854384479,0.0815625,23855.0,3,2429634158,22.96,19.25
513,3391269389,74608727.5725761,8808491.91948052,385,31.34,0.7054011170467025,0.08140259740259741,130145.0,11,2428916913,22.96,19.25
514,3391253389,74749754.92568123,8831389.033854166,384,31.35,0.7066636693156647,0.08164062500000001,186500.0,5,2429591845,22.96,19.25
515,3391420389,74828821.56923273,8831823.9296875,384,31.330000000000002,0.7075776553524028,0.08158854166666667,167000.0,3,2430758188,22.98,19.27
516,3391368389,74934020.23209336,8854747.751958225,383,31.34,0.7084957899401452,0.08182767624020888,128000.0,3,2431518566,22.98,19.27
517,3391400889,74851337.4859409,8831773.1484375,384,31.330000000000002,0.7078871791877872,0.08158854166666667,-170000.0,5,2430190893,22.97,19.29
518,3391374139,74800744.98985867,8831703.486979166,384,31.34,0.7071577334254563,0.08161458333333334,-50550.0,4,2427187882,22.93,19.28
519,3391238639,74892633.34420414,8854408.979112271,383,31.330000000000002,0.7080998408451096,0.08180156657963447,-125500.0,6,2427760144,22.93,19.29
520,3391225639,74969818.4249257,8877554.028795812,382,31.330000000000002,0.708701351806148,0.08201570680628273,-11000.0,6,2428170055,22.94,19.29
521,3390983139,74672325.710668,8853741.877284596,383,31.36,0.7058930077687005,0.0818798955613577,-243000.0,19,2422447100,22.89,19.259999999999998
522,3390920139,74608668.85481158,8853577.386422977,383,31.35,0.7055594190064497,0.0818537859007833,-63000.0,8,2421603868,22.89,19.26
